owner_acronym,source_year,total_entries,total_source_scraper,total_source_csv,error_entries,error_source_scraper,error_source_csv,total_non_duplicate_entries,total_duplicate_entries
fja,2017,101,0,101,0,0,0,101,0
fja,2018,72,0,72,0,0,0,72,0
fja,2019,77,0,77,0,0,0,75,2
fja,2020,83,0,83,0,0,0,83,0
fpcc,2016,1,0,1,0,0,0,1,0
fpcc,2017,2,0,2,0,0,0,2,0
fpcc,2018,6,0,6,0,0,0,6,0
fpcc,2019,2,0,2,0,0,0,2,0
fpcc,2020,15,0,15,0,0,0,15,0
gac,2004,1908,0,1908,0,0,0,1858,50
gac,2005,2146,0,2146,0,0,0,2096,50
gac,2006,3502,0,3502,0,0,0,3448,54
gac,2007,3228,0,3228,0,0,0,3151,77
gac,2008,2460,0,2460,0,0,0,2431,29
gac,2009,2690,0,2690,0,0,0,2630,60
gac,2010,3400,0,3400,0,0,0,3358,42
gac,2011,3085,0,3085,0,0,0,3033,52
gac,2012,2813,0,2813,0,0,0,2739,74
gac,2013,3061,0,3061,0,0,0,3006,55
gac,2014,3282,0,3282,0,0,0,3238,44
gac,2015,3334,0,3334,0,0,0,3227,107
gac,2016,3109,0,3109,0,0,0,3072,37
gac,2017,4188,0,4188,0,0,0,4143,45
gac,2018,4543,0,4543,0,0,0,4474,69
gac,2019,4311,0,4311,0,0,0,4285,26
gac,2020,2600,0,2600,0,0,0,2574,26
gac,,9,0,9,9,0,9,9,0
hc,2004,3777,3777,0,3777,3777,0,3777,0
hc,2005,3590,3590,0,3590,3590,0,3590,0
hc,2006,3252,3252,0,3252,3252,0,3252,0
hc,2007,3782,3782,0,3782,3782,0,3782,0
hc,2008,3446,3446,0,3446,3446,0,3446,0
hc,2009,3374,3374,0,3374,3374,0,3374,0
hc,2010,3310,3310,0,1592,1592,0,3273,37
hc,2011,3340,3340,0,6,6,0,3242,98
hc,2012,3079,3079,0,13,13,0,2960,119
hc,2013,2891,2891,0,15,15,0,2706,185
hc,2014,2764,2764,0,50,50,0,2597,167
hc,2015,2343,2343,0,90,90,0,2273,70
hc,2016,2254,1627,627,18,18,0,2164,90
hc,2017,1948,0,1948,56,0,56,1848,100
hc,2018,1787,0,1787,20,0,20,1731,56
hc,2019,1501,0,1501,22,0,22,1440,61
hc,2020,1036,0,1036,24,0,24,1011,25
hc,,11,0,11,11,0,11,11,0
iaac,2004,59,0,59,0,0,0,59,0
iaac,2005,58,0,58,0,0,0,57,1
iaac,2006,28,0,28,0,0,0,28,0
iaac,2007,52,0,52,0,0,0,52,0
iaac,2008,90,0,90,0,0,0,88,2
iaac,2009,86,0,86,0,0,0,85,1
iaac,2010,43,0,43,0,0,0,43,0
iaac,2011,34,0,34,0,0,0,33,1
iaac,2012,51,0,51,0,0,0,51,0
iaac,2013,77,0,77,0,0,0,69,8
iaac,2014,25,0,25,0,0,0,24,1
iaac,2015,8,0,8,0,0,0,8,0
iaac,2016,65,0,65,0,0,0,62,3
iaac,2017,24,0,24,0,0,0,24,0
iaac,2018,76,0,76,0,0,0,73,3
iaac,2019,85,0,85,0,0,0,85,0
iaac,2020,56,0,56,0,0,0,55,1
ic,2004,2353,2353,0,0,0,0,2313,40
ic,2005,2372,2372,0,0,0,0,2331,41
ic,2006,2057,2057,0,0,0,0,2000,57
ic,2007,1768,1768,0,0,0,0,1753,15
ic,2008,1749,1749,0,0,0,0,1687,62
ic,2009,1649,1649,0,0,0,0,1605,44
ic,2010,1523,1523,0,0,0,0,1506,17
ic,2011,1461,1461,0,0,0,0,1450,11
ic,2012,1252,1252,0,0,0,0,1247,5
ic,2013,1330,1330,0,0,0,0,1312,18
ic,2014,1242,1242,0,0,0,0,1224,18
ic,2015,1251,1251,0,0,0,0,1243,8
ic,2016,1323,875,448,0,0,0,1297,26
ic,2017,1569,0,1569,0,0,0,1502,67
ic,2018,1453,0,1453,0,0,0,1427,26
ic,2019,1120,0,1120,0,0,0,1091,29
ic,2020,811,0,811,0,0,0,792,19
ijc,2017,32,0,32,0,0,0,32,0
ijc,2018,34,0,34,0,0,0,34,0
